Factor1,Factor2
4.679131,13.51936
4.7447743,12.953848
5.1439195,12.812249
3.962025,13.249014
4.684858,13.277535
3.972047,13.35712
4.490608,13.56174
5.0237036,12.858198
5.027959,12.589382
3.965412,12.846757
4.271707,13.235077
4.997543,13.095643
4.8391886,13.293961
4.9615464,13.061538
4.338753,13.091996
3.5170338,12.90637
4.6627398,12.880106
5.194725,12.869764
4.94992,13.259843
4.5968924,12.838113
4.7999945,12.853195
4.9579015,13.092838
3.8969898,12.705031
4.5092735,12.448071
4.3440537,12.856736
4.7280736,13.142237
3.9204214,12.497257
4.5056763,12.849239
3.5879724,13.171961
4.8629704,13.022756
4.6655655,13.417264
4.7096562,13.435731
4.6353827,13.204514
5.0561137,13.488034
4.738846,13.188732
4.660203,12.8612175
5.085802,13.26538
3.8640819,13.105701
4.7932973,13.354518
5.0798144,12.969827
4.7811856,13.280767
4.753014,12.899532
4.859126,13.414156
4.637243,13.262875
4.283611,13.045103
4.979722,12.9430275
4.504621,12.69087
4.941603,13.021143
4.7374296,13.175809
4.7023573,13.522863
4.668041,13.482164
4.6959105,12.82201
3.4842117,13.133695
5.075093,13.190651
5.006396,12.843219
4.3786016,13.408596
4.5125794,12.775245
4.5300355,13.66596
4.277974,12.159008
4.5455017,13.600173
4.6159,12.803819
4.620558,13.3503065
4.35512,12.917485
-11.015676,-10.890975
-11.29567,-10.813238
-11.170311,-10.476607
-10.946328,-10.898962
-11.006557,-11.022889
-11.288822,-10.274177
-11.075326,-10.814497
0.2349335,-1.4081849
-11.100208,-10.179173
-11.256774,-10.742655
-11.188623,-10.677967
-11.032262,-10.93352
-10.938882,-11.115752
-10.982246,-11.035009
-11.326031,-10.524059
-11.135281,-10.417921
-11.124132,-10.23285
5.1510215,12.811702
4.165116,13.112892
4.8337927,13.342628
4.780401,12.988207
5.167304,12.943832
4.704585,13.043694
4.0515423,13.100878
4.375841,12.79245
4.866194,13.219169
5.049786,13.008101
3.81152,12.8334465
4.2631283,12.877161
5.133589,13.025
4.2975736,13.480244
5.159431,12.738803
3.6746302,12.814549
3.6496952,12.834276
4.5119767,13.34072
5.0246725,12.559573
4.9017057,12.573583
4.2405233,13.514935
5.0834155,13.14438
4.9551787,13.086908
3.7235968,13.298766
4.7383657,12.861484
4.2495513,13.57419
4.9981275,13.085236
4.4049296,12.944996
4.7216754,12.857333
4.567229,12.89678
4.981897,12.839478
4.2817583,12.789054
4.752228,13.469635
4.016383,13.551689
-11.2625265,-10.684136
-11.084335,-10.993322
-11.061367,-10.516213
-10.961968,-11.008076
-11.3389635,-10.48032
-10.910575,-11.114518
-11.158547,-11.139768
-11.134573,-10.420547
-11.3118,-10.331459
-11.159621,-10.411611
-11.108087,-10.72972
-11.11966,-10.264003
0.23593517,-1.4074765
-11.281604,-10.853401
-11.102979,-10.711443
-11.289633,-10.845163
-11.1420765,-10.781072
-10.974602,-10.933807
-10.975613,-10.998321
-11.017517,-11.157994
-10.973129,-10.920662
-11.2631445,-10.983848
-11.11589,-10.943814
-11.358096,-10.544098
0.23618424,-1.4069148
-11.006514,-10.643726
-11.290995,-10.429024
-11.1259985,-10.246976
-11.124299,-10.360605
